accuracy,loss,val_accuracy,val_loss,learning_rate
0.2490110695362091,1.6840380430221558,0.3002031445503235,1.475956916809082,0.0010000000474974513
0.2626141309738159,1.505121111869812,0.3004375696182251,1.6114457845687866,0.0010000000474974513
0.30762940645217896,1.4359991550445557,0.3736521303653717,1.4897006750106812,0.0010000000474974513
0.29863300919532776,1.3371866941452026,0.3874824047088623,1.2965354919433594,0.0010000000474974513
0.3389080762863159,1.2597087621688843,0.3812314569950104,1.1932721138000488,0.0010000000474974513
0.36150750517845154,1.2904572486877441,0.3495858609676361,1.4042887687683105,0.0010000000474974513
0.3601221740245819,1.1860495805740356,0.3792780041694641,1.5974094867706299,0.0010000000474974513
0.3851584792137146,1.1595784425735474,0.3895139992237091,1.0657196044921875,0.0010000000474974513
0.3932535648345947,0.9875630140304565,0.37177684903144836,1.4693543910980225,0.0010000000474974513
0.3976098597049713,1.0471999645233154,0.36372870206832886,1.0899903774261475,0.0010000000474974513
